FID	IID	SSN
A458	A13283	Plate31.10
NA3079	NA30792	Plate18.27
A840	A39477	Plate31.14
NA5902	NA59022	Plate18.69
NA5090	NA50901	Plate18.31
NA5279	NA52791	Plate18.40
A225	A77146	Plate18.94
A837	A24758	Plate31.33
NA5298	NA52982	Plate18.28
A402	A18441	Plate31.81
A455	A92503	Plate31.45
NA3016	NA30162	Plate18.16
A458	A34747	Plate31.12
NA843	NA8432	Plate31.78
NA3206	NA32062	Plate18.6
A242	A92562	Plate18.54
A479	A20586	Plate31.57
A472	A51396	Plate31.42
A109	A16936	Plate18.34
A491	A49808	Plate31.35
NA6018	NA60181	Plate18.79
A317	A34768	Plate18.71
A405	A27596	Plate31.69
A818	A65287	Plate31.21
A162	A66908	Plate18.29
A82	A77159	Plate18.21
A547	A21588	Plate31.93
A836	A28994	Plate31.40
A854	A62787	Plate31.66
NA843	NA8431	Plate31.77
A479	A16536	Plate31.56
A547	A10338	Plate31.92
NA488	NA4881	Plate31.75
NA968	NA9682	Plate31.80
NA5463	NA54632	Plate18.53
A424	A28924	Plate31.54
A465	A14438	Plate31.23
NA3079	NA30791	Plate18.68
A432	A47806	Plate31.7
NA5291	NA52911	Plate18.47
A62	A70729	Plate18.61
NA6614	NA66142	Plate18.89
A75	A68898	Plate18.72
A835	A84769	Plate31.48
A342	A75857	Plate18.66
A397	A22873	Plate31.2
A136	A29894	Plate18.85
A796	A35844	Plate31.20
A851	A64793	Plate31.43
NA5843	NA58431	Plate18.90
NA8109	NA81091	Plate31.65
A69	A48448	Plate18.13
NA414	NA4141	Plate31.74
NA5173	NA51731	Plate18.82
A738	A12961	Plate31.9
A405	A97374	Plate31.70
A223	A93389	Plate18.62
A55	A43552	Plate18.70
NA488	NA4882	Plate31.76
A439	A21801	Plate31.61
NA1101	NA11012	Plate18.38
A210	A58157	Plate18.65
NA5273	NA52731	Plate18.63
A104	A11520	Plate18.75
NA265	NA2651	Plate31.4
NA5160	NA51602	Plate18.67
NA5291	NA52912	Plate18.80
A839	A62955	Plate31.90
A422	A62377	Plate31.38
A163	A51371	Plate18.37
A424	A51746	Plate31.55
NA3449	NA34491	Plate18.41
A439	A83162	Plate31.63
A836	A41654	Plate31.39
A847	A71391	Plate31.30
A491	A17842	Plate31.34
A469	A67492	Plate31.18
A840	A59746	Plate31.13
A472	A10005	Plate31.44
A190	A20417	Plate18.87
A454	A80682	Plate31.53
A818	A48758	Plate31.22
A451	A36195	Plate31.85
NA423	NA4232	Plate31.1
A408	A20104	Plate31.16
NA5158	NA51581	Plate18.39
A418	A50888	Plate31.27
A138	A96176	Plate18.33
A162	A85007	Plate18.36
A450	A15851	Plate31.49
A432	A67180	Plate31.6
A331	A18539	Plate18.60
A32	A32511	Plate18.50
A801	A41379	Plate31.94
A251	A83591	Plate18.74
NA5481	NA54811	Plate18.56
NA952	NA9522	Plate18.35
A455	A95274	Plate31.46
A824	A26395	Plate31.28
NA5213	NA52131	Plate18.91
A157	A84778	Plate18.73
NA1101	NA11011	Plate18.44
A227	A13973	Plate18.92
NA5273	NA52732	Plate18.9
A872	A26458	Plate31.60
A469	A34438	Plate31.32
A55	A40998	Plate18.23
A62	A52993	Plate18.25
A169	A74387	Plate18.30
NA2075	NA20751	Plate18.20
NA6018	NA60182	Plate18.81
A422	A10889	Plate31.37
A80	A61622	Plate18.3
A811	A63242	Plate31.96
A132	A10340	Plate18.1
NA3319	NA33191	Plate18.45
A839	A21072	Plate31.89
A335	A35927	Plate18.12
NA584	NA5842	Plate31.88
A824	A75854	Plate31.29
A651	A39361	Plate31.51
NA3206	NA32061	Plate18.83
A493	A17684	Plate31.64
A796	A94475	Plate31.19
NA5133	NA51331	Plate18.77
A118	A20870	Plate18.2
A283	A17329	Plate18.24
NA5268	NA52681	Plate18.5
NA265	NA2652	Plate31.5
NA165	NA1652	Plate31.91
NA5268	NA52682	Plate18.48
NA7169	NA71691	Plate31.82
A79	A51553	Plate18.7
A847	A33981	Plate31.31
NA5160	NA51601	Plate18.8
A408	A27192	Plate31.17
NA5481	NA54812	Plate18.58
A872	A27910	Plate31.59
A451	A95049	Plate31.84
A79	A12515	Plate18.64
A87	A33104	Plate18.4
NA5272	NA52722	Plate18.10
A196	A14342	Plate18.86
A391	A24726	Plate31.72
A391	A62116	Plate31.71
A219	A37882	Plate18.84
A835	A36589	Plate31.47
NA584	NA5841	Plate31.86
NA3245	NA32451	Plate19.68
A813	A59638	Plate30.65
A741	A83437	Plate30.72
NA5938	NA59381	Plate19.61
NA2075	NA20752	Plate19.67
A253	A16758	Plate19.65
A575	A73369	Plate30.9
A267	A35838	Plate19.53
A110	A67219	Plate19.45
NA3455	NA34552	Plate30.61
A212	A79348	Plate19.62
NA5938	NA59382	Plate19.76
NA2447	NA24471	Plate19.46
A858	A83173	Plate30.78
NA3283	NA32832	Plate19.90
NA9118	NA91182	Plate30.91
A244	A83206	Plate19.91
A118	A19698	Plate19.14
NA5523	NA55231	Plate30.50
A395	A16607	Plate30.3
A345	A89457	Plate19.92
A202	A85800	Plate19.13
NA119	NA1191	Plate30.14
A790	A48854	Plate30.76
A539	A65741	Plate30.70
NA225	NA2252	Plate30.87
A220	A89345	Plate19.58
A57	A54766	Plate19.43
A754	A36822	Plate30.57
NA9949	NA99491	Plate30.52
NA9118	NA91181	Plate30.90
NA249	NA2492	Plate30.67
NA486	NA4862	Plate30.54
NA5298	NA52981	Plate19.72
A499	A43280	Plate30.16
A878	A47949	Plate30.30
NA5173	NA51732	Plate19.12
A499	A48807	Plate30.17
A235	A25002	Plate19.82
NA5239	NA52392	Plate30.59
NA137	NA1371	Plate30.88
A184	A52165	Plate19.63
A157	A13772	Plate19.64
A591	A98433	Plate30.39
A863	A79114	Plate30.63
NA5217	NA52172	Plate19.70
A414	A11683	Plate30.49
A891	A90369	Plate30.25
NA703	NA7031	Plate19.44
A69	A94984	Plate19.11
A567	A47778	Plate30.13
A395	A96495	Plate30.4
A184	A38663	Plate19.79
A258	A60377	Plate19.80
NA137	NA1372	Plate30.89
A844	A37481	Plate30.80
A244	A53508	Plate19.51
A233	A71303	Plate19.52
NA5523	NA55232	Plate30.53
NA423	NA4231	Plate30.96
NA972	NA9721	Plate19.59
A754	A43169	Plate30.56
A449	A77293	Plate30.83
A449	A16966	Plate30.82
A265	A84427	Plate19.66
A234	A69789	Plate19.69
A813	A29374	Plate30.64
A431	A94420	Plate30.43
A822	A36449	Plate30.32
NA6432	NA64322	Plate19.16
A640	A70776	Plate30.28
A470	A48902	Plate30.40
A119	A39323	Plate19.74
A885	A35414	Plate30.69
A793	A69852	Plate30.7
A581	A58347	Plate30.37
A228	A54945	Plate19.73
NA263	NA2632	Plate30.23
A737	A22611	Plate30.92
A477	A22725	Plate30.94
NA119	NA1192	Plate30.15
A265	A83083	Plate19.77
A886	A12906	Plate30.34
NA340	NA3401	Plate30.73
A172	A88736	Plate19.48
A822	A86455	Plate30.31
A849	A82380	Plate30.19
A863	A54478	Plate30.62
A581	A59282	Plate30.38
A790	A59459	Plate30.77
A734	A18915	Plate30.46
A844	A58892	Plate30.81
NA5902	NA59021	Plate19.50
A1434	A92224	Plate19.94
NA9949	NA99492	Plate30.44
NA704	NA7042	Plate19.38
A891	A71737	Plate30.26
A886	A77764	Plate30.33
A10	A15116	Plate19.84
A253	A59717	Plate19.42
A431	A83651	Plate30.42
NA5361	NA53611	Plate19.47
NA3455	NA34551	Plate30.60
A858	A84651	Plate30.79
A477	A41957	Plate30.93
A201	A14780	Plate19.95
A444	A19427	Plate30.84
A849	A31704	Plate30.18
NA5400	NA54002	Plate19.54
NA5239	NA52391	Plate30.58
A218	A58709	Plate19.88
A885	A17088	Plate30.68
A243	A66708	Plate19.85
A433	A22650	Plate30.1
A640	A23829	Plate30.29
A267	A41630	Plate19.78
NA7696	NA76961	Plate19.96
A398	A71920	Plate30.2
A221	A73976	Plate19.87
A734	A33761	Plate30.45
A889	A92249	Plate30.20
A878	A95596	Plate30.6
A493	A10522	Plate30.95
NA263	NA2631	Plate30.22
A575	A44736	Plate30.11
NA486	NA4861	Plate30.51
A889	A52168	Plate30.21
A210	A88830	Plate19.89
NA340	NA3402	Plate30.75
A672	A55577	Plate23.9
A406	A67901	Plate23.63
A409	A24340	Plate23.1
A563	A15619	Plate23.44
A845	A44703	Plate23.45
A564	A62890	Plate23.64
A756	A95003	Plate23.42
A667	A66254	Plate23.19
A744	A49968	Plate23.70
A756	A82975	Plate23.92
A894	A17705	Plate23.12
A467	A98499	Plate23.50
A739	A54812	Plate20.38
A475	A12487	Plate20.19
A719	A72519	Plate20.53
A459	A79611	Plate23.90
A467	A33264	Plate23.51
NA6676	NA66761	Plate20.1
NA5417	NA54172	Plate23.55
A463	A32634	Plate20.28
A780	A42076	Plate23.91
A529	A36695	Plate23.14
A743	A29083	Plate23.96
A459	A44450	Plate23.89
A780	A15505	Plate23.20
A21	A44565	Plate20.62
A590	A72402	Plate20.88
NA2008	NA20082	Plate23.95
A523	A99500	Plate23.83
NA1466	NA14662	Plate23.7
A483	A21045	Plate20.21
A797	A56649	Plate23.26
A490	A36955	Plate20.6
A586	A20562	Plate20.89
A727	A36108	Plate20.57
A582	A15865	Plate20.79
NA5420	NA54202	Plate23.82
A569	A85927	Plate20.65
A680	A38842	Plate20.51
A657	A29259	Plate23.72
A727	A16222	Plate20.56
NA5420	NA54201	Plate23.38
A616	A10544	Plate23.79
A599	A44930	Plate20.93
A894	A33795	Plate20.59
A593	A75852	Plate20.86
A621	A79050	Plate20.84
NA9229	NA92292	Plate23.6
A463	A53352	Plate20.29
NA8116	NA81161	Plate23.78
A569	A64681	Plate20.66
A561	A66040	Plate20.42
A579	A92398	Plate20.72
A566	A14500	Plate20.40
A412	A64084	Plate23.60
A587	A30352	Plate20.35
A452	A64945	Plate23.58
A510	A37000	Plate23.17
A595	A47703	Plate20.70
A389	A45575	Plate20.27
A671	A46257	Plate23.85
A597	A13001	Plate20.24
A652	A49108	Plate23.4
A599	A15850	Plate20.92
A643	A82706	Plate23.74
NA5406	NA54062	Plate23.76
A429	A10586	Plate23.32
NA5417	NA54171	Plate23.54
A392	A94770	Plate20.15
NA2008	NA20081	Plate23.94
A406	A27099	Plate23.62
A742	A19641	Plate20.36
A786	A90555	Plate23.67
A680	A37652	Plate20.63
A672	A15992	Plate23.2
A582	A87970	Plate20.78
A595	A36582	Plate20.69
A666	A79256	Plate23.13
A747	A68710	Plate23.25
A711	A97572	Plate20.64
A573	A21487	Plate20.96
A593	A23778	Plate20.85
A603	A81899	Plate23.23
A580	A47076	Plate20.31
A670	A57652	Plate20.77
A543	A79513	Plate23.11
A485	A77637	Plate20.17
A549	A22153	Plate23.77
A565	A25953	Plate20.76
A566	A96214	Plate20.41
A628	A34223	Plate20.73
A624	A37708	Plate23.18
NA5431	NA54312	Plate23.31
A730	A15667	Plate20.45
A809	A72564	Plate23.88
A474	A76520	Plate20.9
NA5848	NA58481	Plate23.21
NA8150	NA81501	Plate23.30
A639	A87712	Plate23.80
A879	A54032	Plate23.37
A809	A26125	Plate23.87
A631	A18517	Plate20.94
A438	A84935	Plate23.39
A817	A38998	Plate23.34
A597	A62877	Plate20.25
A10	A95568	Plate20.18
NA8116	NA81162	Plate23.75
A416	A92717	Plate23.73
A635	A92537	Plate23.35
A596	A50660	Plate20.33
A412	A85837	Plate23.59
A480	A96833	Plate20.48
A400	A70430	Plate23.52
A621	A17616	Plate20.83
A416	A91033	Plate23.69
A739	A98417	Plate20.50
A659	A56908	Plate23.43
A671	A88351	Plate23.84
A586	A89514	Plate20.90
A392	A73430	Plate20.14
A180	A55286	Plate20.58
A657	A49252	Plate23.81
NA5406	NA54061	Plate23.33
A752	A39648	Plate20.22
A476	A17874	Plate20.7
A611	A80308	Plate23.71
A755	A79561	Plate23.41
A719	A40202	Plate20.54
A565	A88049	Plate20.75
A427	A19591	Plate23.53
NA37	NA371	Plate23.3
A387	A38228	Plate20.60
A730	A46987	Plate20.44
NA5848	NA58482	Plate23.15
A623	A95405	Plate20.2
A536	A90502	Plate23.27
A612	A14769	Plate23.16
A518	A21757	Plate23.40
NA8150	NA81502	Plate23.66
NA1032	NA10322	Plate23.22
A389	A95867	Plate20.26
A452	A10797	Plate23.57
A396	A54455	Plate20.12
A490	A63795	Plate20.5
A437	A89564	Plate20.55
A485	A20701	Plate20.16
NA3226	NA32262	Plate23.24
A623	A19111	Plate20.3
NA9936	NA99361	Plate23.61
A631	A82494	Plate20.95
A686	A63749	Plate23.68
A752	A16879	Plate20.23
A692	A24279	Plate22.94
A603	A94608	Plate22.34
A574	A93123	Plate22.35
A871	A22107	Plate22.70
A543	A18981	Plate22.21
NA9200	NA92002	Plate22.54
A541	A78864	Plate22.65
NA1032	NA10321	Plate22.29
A517	A16841	Plate22.55
A779	A18519	Plate22.85
NA9531	NA95311	Plate22.23
A781	A54169	Plate22.61
A664	A88710	Plate22.14
A871	A50993	Plate22.76
A797	A24894	Plate22.41
A677	A11135	Plate22.30
NA9200	NA92001	Plate22.47
A656	A77834	Plate22.13
A510	A80230	Plate22.27
A750	A68480	Plate22.24
A540	A17249	Plate22.7
A685	A17274	Plate22.80
NA159	NA1592	Plate22.43
A530	A22034	Plate22.89
A784	A64893	Plate22.69
A778	A89753	Plate22.91
NA8197	NA81971	Plate22.81
A868	A14634	Plate22.74
A778	A47147	Plate22.71
A869	A23825	Plate22.53
A541	A74977	Plate22.68
A612	A47118	Plate22.25
A782	A34972	Plate22.73
NA116	NA1162	Plate22.36
A517	A57910	Plate22.45
A528	A28663	Plate22.1
A507	A15355	Plate22.58
A883	A16218	Plate22.87
A666	A10362	Plate22.26
A437	A93963	Plate22.20
A545	A14021	Plate22.8
A707	A58239	Plate22.5
A685	A30207	Plate22.79
A779	A53399	Plate22.86
A386	A19730	Plate22.44
A554	A77319	Plate22.11
A704	A76310	Plate22.50
A536	A20763	Plate22.32
A704	A88361	Plate22.72
A638	A67672	Plate24.31
A675	A67745	Plate29.40
A560	A20850	Plate29.17
A457	A91473	Plate24.25
A803	A26994	Plate29.43
A804	A98946	Plate29.46
A415	A47439	Plate29.56
NA9465	NA94652	Plate29.80
A862	A41509	Plate29.94
A804	A15618	Plate29.47
A546	A77501	Plate24.33
NA5773	NA57731	Plate24.51
A691	A48947	Plate24.54
A675	A14154	Plate29.39
A411	A37940	Plate29.14
A803	A48914	Plate29.45
A720	A28259	Plate24.56
A515	A97252	Plate29.38
A438	A56557	Plate24.96
NA3014	NA30142	Plate24.81
A550	A67359	Plate29.5
A881	A17130	Plate29.27
A845	A93364	Plate24.61
A807	A96429	Plate29.51
A717	A34893	Plate29.13
A869	A23825	Plate24.87
A461	A40621	Plate29.35
A853	A28706	Plate29.22
A576	A80409	Plate24.19
A857	A95096	Plate24.35
A495	A92995	Plate24.17
A600	A24539	Plate29.59
A761	A10695	Plate29.53
A800	A58486	Plate29.65
A745	A11674	Plate24.65
A461	A14776	Plate29.36
A873	A62861	Plate24.42
A802	A12466	Plate24.38
A558	A11893	Plate29.44
A879	A94763	Plate24.55
NA2409	NA24091	Plate24.94
A791	A26495	Plate29.92
A495	A20049	Plate24.18
A662	A96304	Plate24.6
NA256	NA2561	Plate24.86
A531	A88794	Plate29.30
A826	A29489	Plate29.1
A806	A59436	Plate29.83
A415	A13017	Plate29.57
A796	A94475	Plate24.46
A745	A38007	Plate24.64
A496	A15638	Plate29.82
A887	A19342	Plate29.7
NA5140	NA51402	Plate24.79
A700	A93467	Plate24.29
A578	A14884	Plate24.45
A515	A21813	Plate29.37
A816	A59438	Plate29.32
A557	A45916	Plate29.75
A641	A49501	Plate24.71
A696	A85492	Plate24.32
A709	A88166	Plate29.41
A783	A94578	Plate24.66
A578	A75974	Plate24.41
A807	A53958	Plate29.52
A826	A95895	Plate29.2
A24	A15349	Plate29.34
NA9260	NA92602	Plate29.28
A743	A84874	Plate24.1
A497	A59251	Plate24.85
A857	A87064	Plate24.34
A696	A14356	Plate24.37
A884	A16583	Plate24.62
NA5773	NA57732	Plate24.47
NA5300	NA53001	Plate29.93
A654	A37565	Plate24.40
A892	A65867	Plate24.23
A642	A36403	Plate24.22
A881	A35695	Plate29.19
A563	A53854	Plate24.49
A558	A97059	Plate29.3
A865	A22736	Plate29.8
A882	A24922	Plate29.76
A720	A16905	Plate24.52
NA5224	NA52242	Plate29.49
A862	A48804	Plate29.95
A744	A66798	Plate24.50
A615	A11713	Plate29.90
A791	A59937	Plate29.91
A814	A56584	Plate29.62
A654	A75611	Plate24.44
A410	A49343	Plate24.77
A442	A29568	Plate24.7
A560	A12230	Plate29.16
A442	A20457	Plate24.8
A509	A19957	Plate24.60
A806	A76253	Plate29.85
NA9465	NA94651	Plate29.55
A576	A18017	Plate24.20
A794	A86957	Plate29.73
A513	A18728	Plate24.10
A421	A15462	Plate29.86
A471	A98624	Plate24.4
A513	A28571	Plate24.11
A550	A50848	Plate29.4
A600	A48663	Plate29.60
A24	A48821	Plate29.33
NA3014	NA30141	Plate24.80
NA6053	NA60532	Plate24.15
A559	A19469	Plate29.64
A814	A29453	Plate29.61
A496	A19690	Plate29.81
A717	A59193	Plate29.9
NA442	NA4421	Plate24.12
NA7773	NA77732	Plate24.73
A411	A90572	Plate29.15
NA442	NA4422	Plate24.13
A852	A46382	Plate29.67
A615	A60107	Plate29.89
A882	A92165	Plate29.77
A636	A69922	Plate24.57
A663	A82597	Plate24.2
A831	A65289	Plate29.87
A662	A66788	Plate24.5
A794	A12959	Plate29.74
A700	A61650	Plate24.28
A487	A49324	Plate24.68
A800	A69916	Plate29.68
A796	A35844	Plate24.63
NA5224	NA52241	Plate29.48
A876	A92567	Plate29.72
A616	A21267	Plate24.82
A852	A15978	Plate29.69
A523	A37005	Plate24.9
A709	A17036	Plate29.42
NA6053	NA60531	Plate24.16
A433	A23446	Plate29.96
A638	A51249	Plate24.30
A562	A13217	Plate24.83
A816	A29479	Plate29.31
A783	A55894	Plate24.67
A831	A29836	Plate29.88
A519	A15805	Plate29.50
A887	A24892	Plate29.6
A487	A52555	Plate24.70
A636	A33092	Plate24.58
A802	A98548	Plate24.39
A892	A99206	Plate24.24
NA5140	NA51401	Plate24.78
A430	A31940	Plate29.20
A884	A73314	Plate24.59
A714	A20888	Plate27.51
A699	A14115	Plate27.38
A486	A51041	Plate27.27
NA8097	NA80971	Plate25.7
A660	A15830	Plate27.56
A655	A76998	Plate25.43
A473	A94594	Plate25.59
NA5722	NA57221	Plate25.89
NA46	NA462	Plate25.93
A867	A57544	Plate25.29
A812	A86849	Plate25.32
NA725	NA7251	Plate25.47
A653	A40555	Plate27.13
A694	A45338	Plate27.19
A710	A10035	Plate25.92
NA9031	NA90312	Plate27.36
A529	A44762	Plate25.26
A618	A67527	Plate27.42
A658	A21114	Plate27.48
A619	A50917	Plate25.53
A673	A76214	Plate27.10
A762	A96583	Plate25.57
A435	A45179	Plate25.69
A650	A17336	Plate25.70
A538	A54092	Plate25.19
A693	A29450	Plate25.61
A645	A16526	Plate25.13
A724	A11413	Plate27.30
A637	A86257	Plate27.43
A821	A48497	Plate25.78
A705	A44092	Plate27.22
NA5228	NA52281	Plate25.16
A583	A18603	Plate25.3
A492	A78647	Plate25.74
A538	A11841	Plate25.10
A655	A51147	Plate25.42
A473	A59277	Plate25.58
A633	A59837	Plate25.88
A808	A95458	Plate25.39
A735	A88628	Plate27.34
A705	A86769	Plate27.23
A678	A35342	Plate27.24
A659	A44288	Plate25.21
A755	A58970	Plate25.30
A855	A12774	Plate25.17
A864	A14547	Plate25.65
NA5735	NA57351	Plate25.36
A732	A26757	Plate27.46
A1433	A58194	Plate25.62
A619	A16205	Plate25.52
A637	A18900	Plate27.7
NA7721	NA77212	Plate25.85
A721	A14537	Plate25.11
A716	A61684	Plate27.40
A722	A38680	Plate27.32
A722	A73374	Plate27.31
NA2144	NA21442	Plate25.68
A492	A41091	Plate25.49
A716	A21214	Plate27.45
NA2144	NA21441	Plate25.46
A202	A60886	Plate25.51
A678	A47793	Plate27.25
A848	A77021	Plate27.54
NA9045	NA90451	Plate25.41
A864	A35637	Plate25.66
A618	A14942	Plate27.41
NA9445	NA94452	Plate27.3
NA5228	NA52282	Plate25.6
A843	A87016	Plate27.11
A645	A66020	Plate25.14
A817	A45868	Plate25.22
A486	A27256	Plate27.26
NA5431	NA54311	Plate25.2
A731	A66133	Plate27.21
A710	A93270	Plate25.91
NA8097	NA80972	Plate25.8
A714	A21429	Plate27.50
A760	A64015	Plate27.16
A516	A33068	Plate25.87
NA2129	NA21292	Plate27.5
A762	A78542	Plate25.56
NA5329	NA53292	Plate25.64
A808	A39849	Plate25.38
A410	A59208	Plate25.9
A520	A18452	Plate25.40
NA725	NA7252	Plate25.48
NA46	NA461	Plate25.94
NA9031	NA90311	Plate27.35
A724	A65631	Plate27.29
A693	A94417	Plate25.60
A635	A58673	Plate25.31
A639	A15172	Plate25.24
NA9011	NA90111	Plate25.54
A650	A22909	Plate25.71
A417	A97112	Plate25.45
NA9445	NA94451	Plate27.6
NA5722	NA57222	Plate25.90
A445	A14724	Plate25.1
A673	A29701	Plate27.9
NA5882	NA58821	Plate25.75
NA5329	NA53291	Plate25.63
A611	A29602	Plate25.18
NA5735	NA57352	Plate25.37
A746	A70544	Plate25.28
NA3001	NA30012	Plate27.53
A583	A11896	Plate25.5
A251	A54194	Plate27.15
A732	A74653	Plate27.44
A668	A33933	Plate27.1
NA6432	NA64321	Plate25.95
NA7721	NA77211	Plate25.84
NA2409	NA24092	Plate25.27
A688	A77802	Plate25.81
A859	A39593	Plate27.17
NA5882	NA58822	Plate25.76
NA3001	NA30011	Plate27.52
A688	A16811	Plate25.80
A812	A26478	Plate25.33
A564	A64808	Plate25.4
A668	A60402	Plate27.2
A643	A10702	Plate25.23
A83	A50834	Plate25.86
A694	A27033	Plate27.20
A83	A28196	Plate25.50
A552	A48646	Plate25.83
A417	A14484	Plate25.44
A843	A49459	Plate27.12
A821	A16549	Plate25.79
A552	A93905	Plate25.82
A462	A13034	Plate25.73
A721	A28501	Plate25.25
A746	A29979	Plate25.35
A810	A96549	Plate26.2
A681	A99526	Plate26.92
A626	A73075	Plate26.63
A750	A46629	PlateRedo1.59
A893	A66886	Plate26.40
A715	A28874	Plate26.17
NA3031	NA30311	Plate26.36
A798	A94549	PlateRedo1.61
A785	A17207	PlateRedo1.72
A561	A86028	PlateRedo1.29
A426	A31065	Plate26.71
A697	A48996	Plate26.51
A729	A96646	Plate26.65
A880	A56165	Plate26.89
A679	A25401	Plate26.27
A712	A40005	Plate26.45
A419	A64691	Plate26.25
A435	A65854	PlateRedo1.88
A545	A64671	PlateRedo1.48
NA703	NA7032	PlateRedo1.8
NA3259	NA32591	Plate26.67
A702	A19032	Plate26.61
NA6059	NA60591	Plate26.87
A501	A14711	Plate26.58
A870	A16398	Plate26.31
NA5747	NA57472	Plate26.44
A868	A56700	PlateRedo1.70
NA5246	NA52461	PlateRedo1.54
A782	A73972	PlateRedo1.64
NA256	NA2562	PlateRedo1.58
A785	A14278	PlateRedo1.67
A893	A11042	Plate26.39
A426	A18594	Plate26.72
NA5246	NA52462	PlateRedo1.56
A522	A17330	Plate26.50
NA3259	NA32592	Plate26.68
A850	A18459	Plate26.47
A434	A41911	Plate26.34
NA43	NA431	Plate26.7
A568	A51521	Plate26.23
A474	A62597	PlateRedo1.21
NA5270	NA52701	PlateRedo1.68
NA5747	NA57471	Plate26.43
NA9045	NA90452	PlateRedo1.93
A468	A54046	Plate26.82
A697	A44768	Plate26.52
NA6059	NA60592	Plate26.88
A263	A91938	Plate26.1
A890	A58111	Plate26.5
A644	A21867	Plate26.69
A480	A53880	PlateRedo1.31
A86	A17309	PlateRedo1.13
A228	A94477	PlateRedo1.10
A775	A53631	PlateRedo1.92
A632	A41626	Plate26.73
A846	A13731	Plate26.29
A568	A36507	PlateRedo1.91
A823	A49876	Plate26.42
A820	A94564	Plate26.75
A596	A64821	PlateRedo1.26
A670	A13995	Plate26.6
NA3367	NA33671	Plate26.85
A870	A28320	Plate26.33
A647	A67967	Plate26.14
A522	A69136	Plate26.49
NA5407	NA54072	Plate26.84
A471	A93523	PlateRedo1.75
A484	A53095	PlateRedo1.89
A846	A37746	Plate26.30
A880	A31895	Plate26.90
A488	A50954	Plate26.77
A554	A17522	PlateRedo1.50
A799	A94454	PlateRedo1.63
A729	A28148	Plate26.66
A681	A49893	Plate26.93
A590	A72159	PlateRedo1.38
A548	A64801	Plate26.78
A283	A81200	PlateRedo1.9
NA3367	NA33672	Plate26.86
NA5407	NA54071	Plate26.83
NA1582	NA15821	Plate26.59
A626	A18550	Plate26.64
A468	A25914	Plate26.54
A784	A89227	PlateRedo1.71
A877	A98265	Plate26.11
A476	A39055	PlateRedo1.20
A100	A21123	PlateRedo1.6
A548	A33013	Plate26.80
NA2143	NA21431	Plate26.12
A712	A52463	Plate26.46
A819	A96454	Plate26.70
NA1582	NA15822	Plate26.60
A798	A23984	PlateRedo1.60
A820	A34694	Plate26.91
A434	A10612	Plate26.35
A60	A10475	PlateRedo1.7
A501	A14807	Plate26.57
A632	A78902	Plate26.74
A695	A95602	Plate26.94
NA9011	NA90112	PlateRedo1.66
A787	A99790	Plate26.53
A877	A20410	Plate26.9
A625	A48322	Plate26.15
A574	A36196	PlateRedo1.62
A866	A94222	Plate26.56
A715	A78110	PlateRedo1.87
A628	A52502	PlateRedo1.36
A580	A51655	PlateRedo1.25
A890	A13151	Plate26.4
A679	A71872	Plate26.28
A196	A99377	PlateRedo1.17
A503	A16846	PlateRedo1.47
A488	A12213	Plate26.76
A866	A78373	Plate26.55
A475	A11772	PlateRedo1.24
NA43	NA432	PlateRedo1.85
A386	A63075	PlateRedo1.33
A484	A24281	PlateRedo1.90
A850	A36613	Plate26.48
A702	A82394	Plate26.62
NA2143	NA21432	Plate26.13
A419	A42694	Plate26.26
A528	A99470	PlateRedo1.46
A530	A16602	PlateRedo1.74
A810	A26833	PlateRedo1.84
A218	A77333	PlateRedo1.16
NA3003	NA30032	Plate33.2
A757	A45748	Plate33.47
A703	A29298	Plate28.51
A728	A80794	Plate28.41
A413	A61836	Plate28.37
A532	A92700	Plate33.16
A832	A22532	Plate28.76
A723	A32674	Plate28.56
A532	A56543	Plate33.17
A279	A90720	Plate28.38
A413	A16968	Plate28.36
A644	A74576	Plate28.15
A441	A10492	Plate28.91
A482	A60977	Plate28.6
A766	A25001	Plate33.39
NA7150	NA71502	Plate28.59
A436	A55572	Plate28.90
NA5300	NA53002	Plate28.87
A830	A32947	Plate28.64
A279	A93773	Plate28.39
A829	A95464	Plate28.44
A713	A26813	Plate28.4
A776	A30354	Plate33.64
A875	A17863	Plate33.51
A403	A27882	Plate28.85
A792	A26588	Plate28.66
NA8632	NA86321	Plate28.80
A242	A43832	Plate28.73
A777	A96485	Plate33.57
NA5983	NA59832	Plate33.62
A825	A63945	Plate28.94
NA5530	NA55301	Plate28.32
NA5340	NA53402	Plate28.29
NA7150	NA71501	Plate28.58
NA9159	NA91591	Plate28.82
A718	A30813	Plate28.69
A713	A20332	Plate28.2
NA5983	NA59831	Plate33.61
NA2119	NA21191	Plate33.30
A753	A67054	Plate33.14
A759	A19397	Plate33.50
A506	A97609	Plate28.43
A482	A17826	Plate28.7
A764	A13104	Plate33.35
NA5987	NA59872	Plate33.21
NA6603	NA66031	Plate33.32
A703	A79316	Plate28.52
NA9132	NA91321	Plate28.22
A834	A98659	Plate28.75
A661	A53762	Plate28.8
A723	A14007	Plate28.57
A544	A22750	Plate33.42
A544	A49423	Plate33.40
A585	A80936	Plate28.19
A875	A77230	Plate33.52
A874	A65246	Plate33.26
NA2119	NA21192	Plate33.31
NA5340	NA53401	Plate28.28
A728	A95612	Plate28.40
A830	A92485	Plate28.63
